HolderAddress,Balance
0x369d6c94a62d447d63ae0afb59ae43badf058118,4861.02446105925
0xdb9886416080060895c5c3679bfedb259a0e286a,4559
0x8a68ffd59c5cd90fd631057f9cf0eb8f355876d9,4445
0x5d64d14d2cf4fe5fe4e65b1c7e3d11e18d493091,4108.79082609326
0x3658d0f296e1f70fae8a4059b7a0bbcefd10b2a5,3982.49320375506
0x45832975f083f18dab8b0caf644cbb3a882c8658,3957
0x815a42b6b0c649a10595ad467a88596c8cc63d86,3943.64909940426
0x545213aa603f69d37255247d498d4a3b5d2fe697,3854
0x0811bb79e54543917fc1de1dbcb8e1a72ffa7a87,3811.59581136067
0x04bcfef3e622449ce02397a9fc352a1a3cfc280c,3798
0x7b44675727b68fb9a8d707d35717bde803393684,3784
0x328787ed2f8516529e6f6499821175955962a7b6,3687
0xc5f8b0396548f105c0d7aa194807f4f8cf1bfc99,3685
0x5ae0a177d4cbf8d5347ac6da34d5a938b97009c0,3684
0x2a9da2e4f02ea0a7fe40ccfad86227366308bedb,3651
0xbf9ebefa42db1b05d52c5182471f9a2fa218b863,3641
0xa70463e17ce5bb02b63189b3a841202be7fa4170,3613
0xb9df0d65ddc35268a697c5e7470e08bcd1b5797d,3566
0x8385373065b31f803b45500e0e14a9e13c4bd009,3561
0x510f714b8aa78d7bd33149824b4dcc8fd019d86a,3500
0x00e0319a30ca66aca072c408aee3be4e09c3c7af,3495.52143821304
0x57a8a241e1dad30d3417732dde7d36030e1eaf0d,3457
0x0d57415db957dc681408cfd49da7266e86528599,3453
0xa51cc2e77a55ec6e5f13c28081ee246fadac4386,3453
0x62264e2e4224bbc32f8c28cab9af2091773ca5f9,3448
0x565577cfa358bff51df56ea2b6249fd4d0568fbc,3443
0xb0e92195f16b5829d04e264ce48877e320e2e6d0,3422
0xc88b642f4efd4c34af161d8c84003ad0876726c7,3419
0xf979cb2aa489ad5b8b790831e7619d4861ad006f,3418
0x3af4f79d38ec3b9193d9f864613ce916444e6b11,3353
0xc4049738263f365b313a04cf324cf7fc7b443829,3305.49529638993
0xfc723320fff768e74370fda901fd3b873c80ed7d,3117
0xad94b44c438f4e684792ec4eb5cee49e1d765f76,2980.05789626479
0x22ff5e4b7857f18b5da0c1813c90c03ccf0e9858,2951.79333819826
0x3282d83317afcf44821e2bb8cd8da4b61df47dd2,2756
0x281528e326bd90d5e42b1751111d26f3d709d391,2548
